"SKU","brand","line","name","shape","isBoxPress","isPuro","length_inches","ring_gauge","size","origin","wrapper","binder","filler","strength","flavorNotes","rating","userRating","price","overview","quantity"
"AF-OPX-TORP-001","Arturo Fuente","Opus X","PerfecXion No. 2","Torpedo","TRUE","TRUE","6.375","52","Torpedo","Dominican Republic","Dominican","Dominican","Dominican","Full","cedar;spice;leather","95","4.8","30","A legendary Dominican puro with bold complexity.","1"
"PD-1964-ROB-002","Padron","1964 Anniversary Series","Imperial","Robusto","TRUE","TRUE","5.0","54","Robusto","Nicaragua","Nicaraguan","Nicaraguan","Nicaraguan","Full","cocoa;coffee;earth","94","4.7","18","A rich Nicaraguan box-pressed classic.","1"
"DV-WC-TORO-003","Davidoff","Winston Churchill","The Late Hour","Toro","FALSE","FALSE","6.0","54","Toro","Dominican Republic","Ecuadorian","Mexican","Dominican,Nicaraguan","Medium-full","oak;dark chocolate;pepper","93","4.6","22","Elegant and complex with aged tobaccos.","1"
"OL-SV-FIG-004","Oliva","Serie V","Melanio Figurado","Figurado","TRUE","FALSE","6.5","52","Figurado","Nicaragua","Ecuadorian","Nicaraguan","Nicaraguan","Full","coffee;leather;spice","94","4.7","16","Award-winning blend with bold flavors.","1"
"CO-CUB-CHUR-005","Cohiba","Cuban Line","Espléndidos","Churchill","FALSE","TRUE","7.0","47","Churchill","Cuba","Cuban","Cuban","Cuban","Medium","cream;cedar;honey","96","4.9","40","Iconic Cuban puro with refined elegance.","1"
"TT-RES-CHUR-006","Tatuaje","Reserva","SW Maduro","Churchill","FALSE","FALSE","7.0","47","Churchill","Nicaragua","Connecticut Broadleaf","Nicaraguan","Nicaraguan","Full","earth;pepper;molasses","92","4.5","12","Peppery and bold with a sweet finish.","1"
"LFD-AB-FIG-007","La Flor Dominicana","Andalusian Bull","Andalusian Bull","Figurado","FALSE","FALSE","6.5","64","Figurado","Dominican Republic","Ecuadorian","Dominican","Dominican","Full","leather;spice;cedar","96","4.8","18","Unique shape and powerful flavor.","1"
"RP-DEC-TORO-008","Rocky Patel","Decade","Toro","Toro","FALSE","FALSE","6.5","52","Toro","Honduras","Ecuadorian","Honduran","Nicaraguan","Medium-full","coffee;nutmeg;earth","91","4.4","10","Celebratory blend with rich complexity.","1"
"JDN-A70-ROB-009","Joya de Nicaragua","Antaño 1970","Gran Consul","Robusto","FALSE","TRUE","4.75","60","Robusto","Nicaragua","Nicaraguan","Nicaraguan","Nicaraguan","Full","pepper;cedar;earth","90","4.3","8","Strong Nicaraguan puro with bold spice.","1"
"MC-INP-TORO-010","Macanudo","Inspirado Orange","Toro","FALSE","FALSE","6.0","52","Toro","Honduras","Honduran","Honduran","Nicaraguan","Medium","cedar;nut;citrus","88","4.2","7","Smooth and flavorful with a citrus twist.","1"
"PL-AF-TORO-011","Plasencia","Alma Fuerte","Sixto II","Toro","TRUE","FALSE","6.0","60","Toro","Nicaragua","Nicaraguan","Nicaraguan","Nicaraguan","Full","cocoa;earth;spice","93","4.6","20","Box-pressed powerhouse with depth.","1"
"AB-PRS-CHUR-012","Alec Bradley","Prensado","Churchill","Box-Pressed Churchill","TRUE","FALSE","7.0","48","Churchill","Honduras","Honduran","Honduran","Nicaraguan","Full","coffee;leather;pepper","91","4.5","11","Bold and box-pressed with rich notes.","1"
"CA-AMZ-TORO-013","CAO","Amazon Basin","Amazon Basin","Toro","FALSE","TRUE","6.0","52","Toro","Brazil","Brazilian","Brazilian","Brazilian","Medium-full","earth;fruit;spice","90","4.4","12","Rare Brazilian puro with exotic flavor.","1"
"RJ-CUB-CHUR-014","Romeo y Julieta","Cuban Line","Churchill","Churchill","FALSE","TRUE","7.0","47","Churchill","Cuba","Cuban","Cuban","Cuban","Medium","cedar;cream;floral","92","4.5","18","Classic Cuban with smooth character.","1"
"DE-UND-TORO-015","Drew Estate","Undercrown Maduro","Gran Toro","Toro","FALSE","FALSE","6.0","52","Toro","Nicaragua","San Andrés","Mexican","Nicaraguan","Medium-full","coffee;chocolate;pepper","91","4.6","9","Dark and sweet with balanced spice.","1"
"PD-RC-ROB-016","Perdomo","Reserve Champagne","Robusto","Robusto","FALSE","FALSE","5.0","54","Robusto","Nicaragua","Ecuadorian","Nicaraguan","Nicaraguan","Mild-medium","cream;nut;vanilla","89","4.3","7","Smooth and creamy with a touch of sweetness.","1"
"LA-PRF-TORP-017","La Aurora","Preferidos Emerald","Torpedo","FALSE","FALSE","5.0","54","Torpedo","Dominican Republic","Brazilian","Dominican","Dominican","Medium","cedar;spice;fruit","90","4.4","14","Elegant Dominican with fruity undertones.","1"
"DT-CLS-ROB-018","Don Tomas","Clásico","Robusto","Robusto","FALSE","FALSE","5.5","50","Robusto","Honduras","Honduran","Honduran","Honduran","Mild-medium","wood;nut;earth","87","4.1","5","Affordable and consistent Honduran cigar.","1"
"ES-TT-EXPL-019","El Septimo","Travel Time","Explorer","Toro","FALSE","FALSE","6.0","54","Toro","Costa Rica","Costa Rican","Costa Rican","Costa Rican","Medium-full","coffee;chocolate;fruit","91","4.5","22","Luxurious Costa Rican blend with depth.","1"
"AR-MDG-HER-020","African Roots","Madagascar Gold","Heritage","Toro","FALSE","TRUE","6.0","52","Toro","Madagascar","Madagascan","Madagascan","Madagascan","Medium","spice;earth;herbs","88","4.2","10","Rare African puro with earthy richness.","1"
"CL-AUS-OUTB-021","CigarLab","Australian Ember","Outback Blend","Robusto","FALSE","FALSE","5.0","50","Robusto","Australia","Ecuadorian","Australian","Australian","Medium","cedar;nut;smoke","86","4.0","6","Unique Aussie blend with smoky character.","1"
"TS-ANT-FIG-022","Toscano","Antico","Antico","Figurado","FALSE","TRUE","6.0","40","Figurado","Italy","Italian","Italian","Italian","Medium-full","earth;pepper;leather","89","4.3","5","Rustic Italian puro with bold spice.","1"
"VP-RES-ROB-023","Vegas del Purial","Reserva","Robusto","Robusto","FALSE","TRUE","5.0","50","Robusto","Ecuador","Ecuadorian","Ecuadorian","Ecuadorian","Medium","cedar;cream;nut","90","4.4","8","Smooth Ecuadorian puro with balance.","1"
"KF-DFM-TORO-024","Kafie 1901","Don Fernando Maduro","Toro","FALSE","FALSE","6.0","52","Toro","Honduras","San Andrés","Honduran","Honduran","Medium-full","coffee;chocolate;pepper","90","4.5","9","Small-batch blend with rich maduro notes.","1"
"CT-S1901-ROB-025","Casa Turrent","Serie 1901","Robusto","Robusto","FALSE","TRUE","5.0","50","Robusto","Mexico","Mexican","Mexican","Mexican","Medium-full","