brand,line,name,shape,isBoxPress,length_inches,ring_gauge,size,continent,origin,isPuro,wrapper,binder,filler,strength,flavorNotes,rating,userRating,price,overview,quantity
Cohiba,Siglo VI,Siglo VI,Toro,false,5.9,52,,North America,Cuba,true,Cuba,Cuba,Cuba,Medium-Full,cedar; leather; espresso; chocolate,96,4,$40.00,A classic Cuban cigar with a perfect balance of flavor and strength.,1
Arturo Fuente,OpusX,A,Churchill,false,9.2,47,,North America,Dominican Republic,true,Dominican Republic,Dominican Republic,Dominican Republic,Full,spice; earth; leather; sweet cream,97,4.5,$80.00,Known for its full-bodied flavor and impeccable construction.,1
Padron,1926 Serie,No. 9,Robusto,true,5.2,56,,North America,Nicaragua,false,Nicaragua (Maduro),Nicaragua,Nicaragua,Full,cocoa; coffee; nuts; spice,95,5,$25.00,"A rich, complex, and full-flavored cigar with a signature box-press shape.",1
Oliva,Serie V Melanio,Figurado,Figurado,true,6.5,52,,North America,Nicaragua,false,Ecuadorian Sumatra,Nicaragua,Nicaragua,Medium-Full,cedar; caramel; pepper; leather,96,4,$15.00,"A highly-rated cigar with a smooth, nuanced flavor profile.",1
E.P. Carrillo,Pledge,Prequel,Robusto,true,5.0,50,,North America,Dominican Republic,false,Connecticut Habano,Ecuador,Nicaragua,Full,earth; sweet spice; coffee; wood,98,4,$12.00,"Named the #1 Cigar of 2020, it's a bold and flavorful smoke.",1
Ashton,Symmetry,Prestige,Toro,false,6.0,52,,North America,Dominican Republic,false,Ecuadorian Habano,Dominican Republic,Nicaragua; Dominican Republic,Medium,nutty; creamy; spice; pepper,94,4,$16.00,A perfectly balanced cigar with a creamy and complex profile.,1
Montecristo,No. 2,No. 2,Figurado,false,6.1,52,,North America,Cuba,true,Cuba,Cuba,Cuba,Medium,wood; spice; nuts; sweet notes,94,4.5,$35.00,"The quintessential torpedo, a benchmark for a great smoke.",1
My Father,Le Bijou 1922,Torpedo Box Press,Figurado,true,6.1,52,,North America,Nicaragua,false,Nicaragua Oscuro,Nicaragua,Nicaragua,Full,dark chocolate; black pepper; espresso; earth,97,4.5,$14.00,"A full-bodied cigar with a beautiful box-press and rich, dark flavors.",1
Davidoff,Winston Churchill,The Late Hour Churchill,Churchill,false,7.0,48,,North America,Dominican Republic,false,Ecuadorian Habano,Mexico (San Andres),Nicaragua; Dominican Republic,Medium-Full,dark coffee; leather; wood; black pepper,95,4,$23.00,"A sophisticated and complex cigar, aged in Scotch whisky barrels.",1
Alec Bradley,Prensado,Churchill,Churchill,true,7.0,50,,North America,Honduras,false,Honduras Trojes,Nicaragua,Honduras; Nicaragua; Trojes,Full,cocoa; pepper; sweet cedar; raisin,96,4.5,$13.00,"A fantastic, box-pressed cigar with a rich, balanced flavor.",1
Plasencia,Alma Fuerte,Sixto I Hexagon,Toro,true,6.0,60,,North America,Nicaragua,false,Nicaragua,Nicaragua,Nicaragua,Full,coffee; dark chocolate; plum; roasted nuts,93,,$21.00,"An exceptionally smooth, full-flavored cigar with a unique hexagonal box-press.",1
A.J. Fernandez,New World,Puro Especial,Toro,false,6.5,54,,North America,Nicaragua,true,Nicaragua,Nicaragua,Nicaragua,Medium-Full,leather; earth; spice; coffee,92,4,$10.00,A great value puro with classic Nicaraguan flavors.,1
La Aurora,107,Robusto,Robusto,false,5.0,50,,North America,Dominican Republic,false,Ecuadorian Sumatra,Dominican Republic,Dominican Republic; Nicaragua,Medium,cedar; spice; roasted almonds; creamy notes,90,3.5,$8.00,"One of the oldest brands, offering a solid, medium-bodied smoke.",1
Liga Privada,No. 9,Belicoso,Figurado,false,6.0,52,,North America,Nicaragua,false,Connecticut Broadleaf,Brazil,Honduras; Nicaragua,Full,pepper; dark chocolate; molasses; coffee,94,4,$19.00,"A highly sought-after cigar with a deep, complex, and full-flavored profile.",1
Toscano,Classico,Classico,Cheroot,false,6.2,40,,Europe,Italy,false,Kentucky (Italian),N/A,Kentucky (Italian),Medium,earth; smoke; wood; nuts,88,3,$5.00,"A unique, rustic Italian cigar with a distinct flavor profile.",1
De Olifant,Matelieff,Corona,Corona,false,5.5,42,,Europe,Netherlands,false,Sumatra,Java,Java,Mild,hay; wood; herbal; sweet notes,86,4,$6.00,"A Dutch short-filler cigar, known for its mild and refined character.",1
Penin,Gomera,Gomera,Panatela,false,6.0,38,,Africa,Canary Islands,true,Canary Islands,Canary Islands,Canary Islands,Medium,sweet tobacco; earth; wood; spice,87,4,$12.00,A rare puro from the Canary Islands with a unique flavor.,1
Don Tomas,Cameroon,Robusto,Robusto,false,5.5,50,,Asia,Philippines,false,Cameroon,Honduras,Honduras; Nicaragua,Medium,spicy; sweet; coffee; toasted nuts,89,3,$7.00,A good value cigar featuring a sweet Cameroon wrapper.,1
Flor de Selva,No. 15,No. 15,Robusto,false,5.0,50,,South America,Honduras,true,Honduras,Honduras,Honduras,Medium-Full,earth; spice; sweet cedar; coffee,90,3,$9.00,"A Honduran puro with a classic, spicy profile.",1
La Flor Dominicana,Andalusian Bull,Andalusian Bull,Figurado,false,6.5,64,,South America,Dominican Republic,false,Ecuadorian Corojo,Dominican Republic,Dominican Republic,Full,sweet spice; leather; molasses; pepper,96,4,$19.00,A powerful and complex cigar with a unique shape.,1
San Lotano,Oval Habano,Oval,Toro,true,6.0,52,,South America,Nicaragua,false,Habano,Honduras,Nicaragua,Medium-Full,leather; spice; wood; sweet notes,91,3.5,$10.00,"A box-pressed cigar with an oval shape, providing a cool smoke.",1
Warped,La Colmena,Unico Especial,Robusto,false,5.0,48,,South America,Nicaragua,false,Ecuadorian Deflorada,Nicaragua,Nicaragua,Medium,creamy; floral; white pepper; honey,93,3,$13.00,"A smooth, elegant, and complex cigar with a unique wrapper.",1
Romeo y Julieta,1875,Bully,Robusto,false,5.0,50,,South America,Dominican Republic,false,Indonesian TBN,Dominican Republic,Dominican Republic,Medium,cedar; leather; sweet spice; coffee,89,2,$7.00,"A classic cigar with a balanced, enjoyable flavor.",1
Rocky Patel,Decade,Robusto,Robusto,false,5.0,50,,South America,Honduras,false,Ecuadorian Sumatra,Nicaragua,Nicaragua,Medium-Full,chocolate; coffee; toasted nuts; spice,92,3,$11.00,"A highly-rated cigar known for its smooth, rich flavor.",1
Punch,Grand Cru,Grand Cru,Toro,false,6.0,50,,South America,Honduras,false,Connecticut Shade,Connecticut Broadleaf,Honduras,Mild-Medium,cedar; sweet cream; nuts; spice,88,3,$8.00,A mild and creamy cigar perfect for a morning smoke.,1